Topic,Problem,Status,R1,R1 status,R2,R2 status,R3,R3 status,R4,R4 status,R5,R5 status
Greedy,Minimize Cash Flow among a given set of friends who have borrowed money from each other,,9 June 2023,,10-Jun-23,,17-Jun-23,,02-Jul-23,,01-Aug-23,
Greedy,Minimum Cost to cut a board into squares,,9 June 2023,,10-Jun-23,,17-Jun-23,,02-Jul-23,,01-Aug-23,
Greedy,Check if it is possible to survive on Island,,10 June 2023,,11-Jun-23,,18-Jun-23,,03-Jul-23,,02-Aug-23,
Greedy,Find maximum meetings in one room,,10 June 2023,,11-Jun-23,,18-Jun-23,,03-Jul-23,,02-Aug-23,
Greedy,Maximum product subset of an array,,10 June 2023,,11-Jun-23,,18-Jun-23,,03-Jul-23,,02-Aug-23,
Greedy,Maximize array sum after K negations,,10 June 2023,,11-Jun-23,,18-Jun-23,,03-Jul-23,,02-Aug-23,
Greedy,Maximize the sum of arr[i]*i,,11 June 2023,,12-Jun-23,,19-Jun-23,,04-Jul-23,,03-Aug-23,
Greedy,Maximum sum of absolute difference of an array,,11 June 2023,,12-Jun-23,,19-Jun-23,,04-Jul-23,,03-Aug-23,
Greedy,Maximize sum of consecutive differences in a circular array,,11 June 2023,,12-Jun-23,,19-Jun-23,,04-Jul-23,,03-Aug-23,
Greedy,Minimum sum of absolute difference of pairs of two arrays,,11 June 2023,,12-Jun-23,,19-Jun-23,,04-Jul-23,,03-Aug-23,
Greedy,Program for Shortest Job First (or SJF) CPU Scheduling,,12 June 2023,,13-Jun-23,,20-Jun-23,,05-Jul-23,,04-Aug-23,
Greedy,Program for Least Recently Used (LRU) Page Replacement algorithm,,12 June 2023,,13-Jun-23,,20-Jun-23,,05-Jul-23,,04-Aug-23,
Greedy,Smallest subset with sum greater than all other elements,,12 June 2023,,13-Jun-23,,20-Jun-23,,05-Jul-23,,04-Aug-23,
Greedy,Chocolate Distribution Problem,,12 June 2023,,13-Jun-23,,20-Jun-23,,05-Jul-23,,04-Aug-23,
Greedy,DEFKIN -Defense of a Kingdom,,13 June 2023,,14-Jun-23,,21-Jun-23,,06-Jul-23,,05-Aug-23,
Greedy,DIEHARD -DIE HARD,,13 June 2023,,14-Jun-23,,21-Jun-23,,06-Jul-23,,05-Aug-23,
Greedy,GERGOVIA -Wine trading in Gergovia,,13 June 2023,,14-Jun-23,,21-Jun-23,,06-Jul-23,,05-Aug-23,
Greedy,Picking Up Chicks,,13 June 2023,,14-Jun-23,,21-Jun-23,,06-Jul-23,,05-Aug-23,
Greedy,CHOCOLA –Chocolate,,14 June 2023,,15-Jun-23,,22-Jun-23,,07-Jul-23,,06-Aug-23,
Greedy,ARRANGE -Arranging Amplifiers,,14 June 2023,,15-Jun-23,,22-Jun-23,,07-Jul-23,,06-Aug-23,
Greedy,K Centers Problem,,14 June 2023,,15-Jun-23,,22-Jun-23,,07-Jul-23,,06-Aug-23,
Greedy,Minimum Cost of ropes,,14 June 2023,,15-Jun-23,,22-Jun-23,,07-Jul-23,,06-Aug-23,
Greedy,Find smallest number with given number of digits and sum of digits,,15 June 2023,,16-Jun-23,,23-Jun-23,,08-Jul-23,,07-Aug-23,
Greedy,Rearrange characters in a string such that no two adjacent are same,,15 June 2023,,16-Jun-23,,23-Jun-23,,08-Jul-23,,07-Aug-23,
Greedy,Find maximum sum possible equal sum of three stacks,,15 June 2023,,16-Jun-23,,23-Jun-23,,08-Jul-23,,07-Aug-23,
BackTracking,Rat in a maze Problem,,15 June 2023,,16-Jun-23,,23-Jun-23,,08-Jul-23,,07-Aug-23,
BackTracking,Printing all solutions in N-Queen Problem,,16 June 2023,,17-Jun-23,,24-Jun-23,,09-Jul-23,,08-Aug-23,
BackTracking,Word Break Problem using Backtracking,,16 June 2023,,17-Jun-23,,24-Jun-23,,09-Jul-23,,08-Aug-23,
BackTracking,Remove Invalid Parentheses,,16 June 2023,,17-Jun-23,,24-Jun-23,,09-Jul-23,,08-Aug-23,
BackTracking,Sudoku Solver,,16 June 2023,,17-Jun-23,,24-Jun-23,,09-Jul-23,,08-Aug-23,
BackTracking,m Coloring Problem,,17 June 2023,,18-Jun-23,,25-Jun-23,,10-Jul-23,,09-Aug-23,
BackTracking,Print all palindromic partitions of a string,,17 June 2023,,18-Jun-23,,25-Jun-23,,10-Jul-23,,09-Aug-23,
BackTracking,Subset Sum Problem,,17 June 2023,,18-Jun-23,,25-Jun-23,,10-Jul-23,,09-Aug-23,
BackTracking,The Knight’s tour problem,,17 June 2023,,18-Jun-23,,25-Jun-23,,10-Jul-23,,09-Aug-23,
BackTracking,Tug of War,,18 June 2023,,19-Jun-23,,26-Jun-23,,11-Jul-23,,10-Aug-23,
BackTracking,Find shortest safe route in a path with landmines,,18 June 2023,,19-Jun-23,,26-Jun-23,,11-Jul-23,,10-Aug-23,
BackTracking,Combinational Sum,,18 June 2023,,19-Jun-23,,26-Jun-23,,11-Jul-23,,10-Aug-23,
BackTracking,Find Maximum number possible by doing at-most K swaps,,18 June 2023,,19-Jun-23,,26-Jun-23,,11-Jul-23,,10-Aug-23,
BackTracking,Print all permutations of a string ,,19 June 2023,,20-Jun-23,,27-Jun-23,,12-Jul-23,,11-Aug-23,
BackTracking,Find if there is a path of more than k length from a source,,19 June 2023,,20-Jun-23,,27-Jun-23,,12-Jul-23,,11-Aug-23,
BackTracking,Longest Possible Route in a Matrix with Hurdles,,19 June 2023,,20-Jun-23,,27-Jun-23,,12-Jul-23,,11-Aug-23,
BackTracking,Print all possible paths from top left to bottom right of a mXn matrix,,19 June 2023,,20-Jun-23,,27-Jun-23,,12-Jul-23,,11-Aug-23,
BackTracking,Partition of a set intoK subsets with equal sum,,20 June 2023,,21-Jun-23,,28-Jun-23,,13-Jul-23,,12-Aug-23,
BackTracking,Find the K-th Permutation Sequence of first N natural numbers,,20 June 2023,,21-Jun-23,,28-Jun-23,,13-Jul-23,,12-Aug-23,
Stacks & Queues, Implement Stack from Scratch,,20 June 2023,,21-Jun-23,,28-Jun-23,,13-Jul-23,,12-Aug-23,
Stacks & Queues, Implement Queue from Scratch,,20 June 2023,,21-Jun-23,,28-Jun-23,,13-Jul-23,,12-Aug-23,
Stacks & Queues,Implement 2 stack in an array,,21 June 2023,,22-Jun-23,,29-Jun-23,,14-Jul-23,,13-Aug-23,
Stacks & Queues,find the middle element of a stack,,21 June 2023,,22-Jun-23,,29-Jun-23,,14-Jul-23,,13-Aug-23,
Stacks & Queues,"Implement ""N"" stacks in an Array",,21 June 2023,,22-Jun-23,,29-Jun-23,,14-Jul-23,,13-Aug-23,
Stacks & Queues,Check the expression has valid or Balanced parenthesis or not.,,21 June 2023,,22-Jun-23,,29-Jun-23,,14-Jul-23,,13-Aug-23,
Stacks & Queues,Reverse a String using Stack,,22 June 2023,,23-Jun-23,,30-Jun-23,,15-Jul-23,,14-Aug-23,
Stacks & Queues,Design a Stack that supports getMin() in O(1) time and O(1) extra space.,,22 June 2023,,23-Jun-23,,30-Jun-23,,15-Jul-23,,14-Aug-23,
Stacks & Queues,Find the next Greater element,,22 June 2023,,23-Jun-23,,30-Jun-23,,15-Jul-23,,14-Aug-23,
Stacks & Queues,The celebrity Problem,,22 June 2023,,23-Jun-23,,30-Jun-23,,15-Jul-23,,14-Aug-23,
Stacks & Queues,Arithmetic Expression evaluation,,23 June 2023,,24-Jun-23,,01-Jul-23,,16-Jul-23,,15-Aug-23,
Stacks & Queues,Evaluation of Postfix expression,,23 June 2023,,24-Jun-23,,01-Jul-23,,16-Jul-23,,15-Aug-23,
Stacks & Queues,Implement a method to insert an element at its bottom without using any other data structure.,,23 June 2023,,24-Jun-23,,01-Jul-23,,16-Jul-23,,15-Aug-23,
Stacks & Queues,Reverse a stack using recursion,,23 June 2023,,24-Jun-23,,01-Jul-23,,16-Jul-23,,15-Aug-23,
Stacks & Queues,Sort a Stack using recursion,,24 June 2023,,25-Jun-23,,02-Jul-23,,17-Jul-23,,16-Aug-23,
Stacks & Queues,Merge Overlapping Intervals,,24 June 2023,,25-Jun-23,,02-Jul-23,,17-Jul-23,,16-Aug-23,
Stacks & Queues,Largest rectangular Area in Histogram,,24 June 2023,,25-Jun-23,,02-Jul-23,,17-Jul-23,,16-Aug-23,
Stacks & Queues,Length of the Longest Valid Substring,,24 June 2023,,25-Jun-23,,02-Jul-23,,17-Jul-23,,16-Aug-23,
Stacks & Queues,Expression contains redundant bracket or not,,25 June 2023,,26-Jun-23,,03-Jul-23,,18-Jul-23,,17-Aug-23,
Stacks & Queues,Implement Stack using Queue,,25 June 2023,,26-Jun-23,,03-Jul-23,,18-Jul-23,,17-Aug-23,
Stacks & Queues,Implement Stack using Deque,,25 June 2023,,26-Jun-23,,03-Jul-23,,18-Jul-23,,17-Aug-23,
Stacks & Queues,Stack Permutations (Check if an array is stack permutation of other),,25 June 2023,,26-Jun-23,,03-Jul-23,,18-Jul-23,,17-Aug-23,
Stacks & Queues,Implement Queue using Stack  ,,26 June 2023,,27-Jun-23,,04-Jul-23,,19-Jul-23,,18-Aug-23,
Stacks & Queues,"Implement ""n"" queue in an array",,26 June 2023,,27-Jun-23,,04-Jul-23,,19-Jul-23,,18-Aug-23,
Stacks & Queues,Implement a Circular queue,,26 June 2023,,27-Jun-23,,04-Jul-23,,19-Jul-23,,18-Aug-23,
Stacks & Queues,LRU Cache Implementationa,,26 June 2023,,27-Jun-23,,04-Jul-23,,19-Jul-23,,18-Aug-23,
Stacks & Queues,Reverse a Queue using recursion,,27 June 2023,,28-Jun-23,,05-Jul-23,,20-Jul-23,,19-Aug-23,
Stacks & Queues,Reverse the first “K” elements of a queue,,27 June 2023,,28-Jun-23,,05-Jul-23,,20-Jul-23,,19-Aug-23,
Stacks & Queues,Interleave the first half of the queue with second half,,27 June 2023,,28-Jun-23,,05-Jul-23,,20-Jul-23,,19-Aug-23,
Stacks & Queues,Find the first circular tour that visits all Petrol Pumps,,27 June 2023,,28-Jun-23,,05-Jul-23,,20-Jul-23,,19-Aug-23,
Stacks & Queues,Minimum time required to rot all oranges,,28 June 2023,,29-Jun-23,,06-Jul-23,,21-Jul-23,,20-Aug-23,
Stacks & Queues,Distance of nearest cell having 1 in a binary matrix,,28 June 2023,,29-Jun-23,,06-Jul-23,,21-Jul-23,,20-Aug-23,
Stacks & Queues,First negative integer in every window of size “k”,,28 June 2023,,29-Jun-23,,06-Jul-23,,21-Jul-23,,20-Aug-23,
Stacks & Queues,Check if all levels of two trees are anagrams or not.,,28 June 2023,,29-Jun-23,,06-Jul-23,,21-Jul-23,,20-Aug-23,
Stacks & Queues,Sum of minimum and maximum elements of all subarrays of size “k”.,,29 June 2023,,30-Jun-23,,07-Jul-23,,22-Jul-23,,21-Aug-23,
Stacks & Queues,Minimum sum of squares of character counts in a given string after removing “k” characters.,,29 June 2023,,30-Jun-23,,07-Jul-23,,22-Jul-23,,21-Aug-23,
Stacks & Queues,Queue based approach or first non-repeating character in a stream.,,29 June 2023,,30-Jun-23,,07-Jul-23,,22-Jul-23,,21-Aug-23,
Stacks & Queues,Next Smaller Element,,29 June 2023,,30-Jun-23,,07-Jul-23,,22-Jul-23,,21-Aug-23,
Heap,Implement a Maxheap/MinHeap using arrays and recursion.,,30 June 2023,,01-Jul-23,,08-Jul-23,,23-Jul-23,,22-Aug-23,
Heap,Sort an Array using heap. (HeapSort),,30 June 2023,,01-Jul-23,,08-Jul-23,,23-Jul-23,,22-Aug-23,
Heap,Maximum of all subarrays of size k.,,30 June 2023,,01-Jul-23,,08-Jul-23,,23-Jul-23,,22-Aug-23,
Heap,“k” largest element in an array,,30 June 2023,,01-Jul-23,,08-Jul-23,,23-Jul-23,,22-Aug-23,
Heap,Kth smallest and largest element in an unsorted array,,1 July 2023,,02-Jul-23,,09-Jul-23,,24-Jul-23,,23-Aug-23,
Heap,Merge “K” sorted arrays. [ IMP ],,1 July 2023,,02-Jul-23,,09-Jul-23,,24-Jul-23,,23-Aug-23,
Heap,Merge 2 Binary Max Heaps,,1 July 2023,,02-Jul-23,,09-Jul-23,,24-Jul-23,,23-Aug-23,
Heap,Kth largest sum continuous subarrays,,1 July 2023,,02-Jul-23,,09-Jul-23,,24-Jul-23,,23-Aug-23,
Heap,Leetcode- reorganize strings,,2 July 2023,,03-Jul-23,,10-Jul-23,,25-Jul-23,,24-Aug-23,
Heap,Merge “K” Sorted Linked Lists [V.IMP],,2 July 2023,,03-Jul-23,,10-Jul-23,,25-Jul-23,,24-Aug-23,
Heap,Smallest range in “K” Lists,,2 July 2023,,03-Jul-23,,10-Jul-23,,25-Jul-23,,24-Aug-23,
Heap,Median in a stream of Integers,,2 July 2023,,03-Jul-23,,10-Jul-23,,25-Jul-23,,24-Aug-23,
Heap,Check if a Binary Tree is Heap,,3 July 2023,,04-Jul-23,,11-Jul-23,,26-Jul-23,,25-Aug-23,
Heap,Connect “n” ropes with minimum cost,,3 July 2023,,04-Jul-23,,11-Jul-23,,26-Jul-23,,25-Aug-23,
Heap,Convert BST to Min Heap,,3 July 2023,,04-Jul-23,,11-Jul-23,,26-Jul-23,,25-Aug-23,
Heap,Convert min heap to max heap,,3 July 2023,,04-Jul-23,,11-Jul-23,,26-Jul-23,,25-Aug-23,
Heap,Rearrange characters in a string such that no two adjacent are same.,,4 July 2023,,05-Jul-23,,12-Jul-23,,27-Jul-23,,26-Aug-23,
Heap,Minimum sum of two numbers formed from digits of an array,,4 July 2023,,05-Jul-23,,12-Jul-23,,27-Jul-23,,26-Aug-23,
Graph,"Create a Graph, print it",,4 July 2023,,05-Jul-23,,12-Jul-23,,27-Jul-23,,26-Aug-23,
Graph,Implement BFS algorithm ,,4 July 2023,,05-Jul-23,,12-Jul-23,,27-Jul-23,,26-Aug-23,
Graph,Implement DFS Algo ,,5 July 2023,,06-Jul-23,,13-Jul-23,,28-Jul-23,,27-Aug-23,
Graph,Detect Cycle in Directed Graph using BFS/DFS Algo ,,5 July 2023,,06-Jul-23,,13-Jul-23,,28-Jul-23,,27-Aug-23,
Graph,Detect Cycle in UnDirected Graph using BFS/DFS Algo ,,5 July 2023,,06-Jul-23,,13-Jul-23,,28-Jul-23,,27-Aug-23,
Graph,Search in a Maze,,5 July 2023,,06-Jul-23,,13-Jul-23,,28-Jul-23,,27-Aug-23,
Graph,Minimum Step by Knight,,6 July 2023,,07-Jul-23,,14-Jul-23,,29-Jul-23,,28-Aug-23,
Graph,flood fill algo,,6 July 2023,,07-Jul-23,,14-Jul-23,,29-Jul-23,,28-Aug-23,
Graph,Clone a graph,,6 July 2023,,07-Jul-23,,14-Jul-23,,29-Jul-23,,28-Aug-23,
Graph,Making wired Connections,,6 July 2023,,07-Jul-23,,14-Jul-23,,29-Jul-23,,28-Aug-23,
Graph,word Ladder ,,7 July 2023,,08-Jul-23,,15-Jul-23,,30-Jul-23,,29-Aug-23,
Graph,Dijkstra algo,,7 July 2023,,08-Jul-23,,15-Jul-23,,30-Jul-23,,29-Aug-23,
Graph,Implement Topological Sort ,,7 July 2023,,08-Jul-23,,15-Jul-23,,30-Jul-23,,29-Aug-23,
Graph,Minimum time taken by each job to be completed given by a Directed Acyclic Graph,,7 July 2023,,08-Jul-23,,15-Jul-23,,30-Jul-23,,29-Aug-23,
Graph,Find whether it is possible to finish all tasks or not from given dependencies,,8 July 2023,,09-Jul-23,,16-Jul-23,,31-Jul-23,,30-Aug-23,
Graph,Find the no. of Isalnds,,8 July 2023,,09-Jul-23,,16-Jul-23,,31-Jul-23,,30-Aug-23,
Graph,"Given a sorted Dictionary of an Alien Language, find order of characters",,8 July 2023,,09-Jul-23,,16-Jul-23,,31-Jul-23,,30-Aug-23,
Graph,Implement Kruksal’sAlgorithm,,8 July 2023,,09-Jul-23,,16-Jul-23,,31-Jul-23,,30-Aug-23,
Graph,Implement Prim’s Algorithm,,9 July 2023,,10-Jul-23,,17-Jul-23,,01-Aug-23,,31-Aug-23,
Graph,Total no. of Spanning tree in a graph,,9 July 2023,,10-Jul-23,,17-Jul-23,,01-Aug-23,,31-Aug-23,
Graph,Implement Bellman Ford Algorithm,,9 July 2023,,10-Jul-23,,17-Jul-23,,01-Aug-23,,31-Aug-23,
Graph,Implement Floyd warshallAlgorithm,,9 July 2023,,10-Jul-23,,17-Jul-23,,01-Aug-23,,31-Aug-23,
Graph,Travelling Salesman Problem,,10 July 2023,,11-Jul-23,,18-Jul-23,,02-Aug-23,,01-Sep-23,
Graph,Graph ColouringProblem,,10 July 2023,,11-Jul-23,,18-Jul-23,,02-Aug-23,,01-Sep-23,
Graph,Snake and Ladders Problem,,10 July 2023,,11-Jul-23,,18-Jul-23,,02-Aug-23,,01-Sep-23,
Graph,Find bridge in a graph,,10 July 2023,,11-Jul-23,,18-Jul-23,,02-Aug-23,,01-Sep-23,
Graph,Count Strongly connected Components(Kosaraju Algo),,11 July 2023,,12-Jul-23,,19-Jul-23,,03-Aug-23,,02-Sep-23,
Graph,Check whether a graph is Bipartite or Not,,11 July 2023,,12-Jul-23,,19-Jul-23,,03-Aug-23,,02-Sep-23,
Graph,Detect Negative cycle in a graph,,11 July 2023,,12-Jul-23,,19-Jul-23,,03-Aug-23,,02-Sep-23,
Graph,Longest path in a Directed Acyclic Graph,,11 July 2023,,12-Jul-23,,19-Jul-23,,03-Aug-23,,02-Sep-23,
Graph,Journey to the Moon,,12 July 2023,,13-Jul-23,,20-Jul-23,,04-Aug-23,,03-Sep-23,
Graph,Cheapest Flights Within K Stops,,12 July 2023,,13-Jul-23,,20-Jul-23,,04-Aug-23,,03-Sep-23,
Graph,Oliver and the Game,,12 July 2023,,13-Jul-23,,20-Jul-23,,04-Aug-23,,03-Sep-23,
Graph,Water Jug problem using BFS,,12 July 2023,,13-Jul-23,,20-Jul-23,,04-Aug-23,,03-Sep-23,
Graph,Water Jug problem using BFS,,13 July 2023,,14-Jul-23,,21-Jul-23,,05-Aug-23,,04-Sep-23,
Graph,Find if there is a path of more thank length from a source,,13 July 2023,,14-Jul-23,,21-Jul-23,,05-Aug-23,,04-Sep-23,
Graph,M-ColouringProblem,,13 July 2023,,14-Jul-23,,21-Jul-23,,05-Aug-23,,04-Sep-23,
Graph,Minimum edges to reverse o make path from source to destination,,13 July 2023,,14-Jul-23,,21-Jul-23,,05-Aug-23,,04-Sep-23,
Graph,Paths to travel each nodes using each edge(Seven Bridges),,14 July 2023,,15-Jul-23,,22-Jul-23,,06-Aug-23,,05-Sep-23,
Graph,Vertex Cover Problem,,14 July 2023,,15-Jul-23,,22-Jul-23,,06-Aug-23,,05-Sep-23,
Graph,Chinese Postman or Route Inspection,,14 July 2023,,15-Jul-23,,22-Jul-23,,06-Aug-23,,05-Sep-23,
Graph,Number of Triangles in a Directed and Undirected Graph,,14 July 2023,,15-Jul-23,,22-Jul-23,,06-Aug-23,,05-Sep-23,
Graph,Minimise the cashflow among a given set of friends who have borrowed money from each other,,15 July 2023,,16-Jul-23,,23-Jul-23,,07-Aug-23,,06-Sep-23,
Graph,Two Clique Problem,,15 July 2023,,16-Jul-23,,23-Jul-23,,07-Aug-23,,06-Sep-23,
Trie,Construct a trie from scratch,,15 July 2023,,16-Jul-23,,23-Jul-23,,07-Aug-23,,06-Sep-23,
Trie,Find shortest unique prefix for every word in a given list,,15 July 2023,,16-Jul-23,,23-Jul-23,,07-Aug-23,,06-Sep-23,
Trie,Word Break Problem | (Trie solution),,16 July 2023,,17-Jul-23,,24-Jul-23,,08-Aug-23,,07-Sep-23,
Trie,"Given a sequence of words, print all anagrams together",,16 July 2023,,17-Jul-23,,24-Jul-23,,08-Aug-23,,07-Sep-23,
Trie,Implement a Phone Directory,,16 July 2023,,17-Jul-23,,24-Jul-23,,08-Aug-23,,07-Sep-23,
Trie,Print unique rows in a given boolean matrix,,16 July 2023,,17-Jul-23,,24-Jul-23,,08-Aug-23,,07-Sep-23,
Dynamic Programming,Coin ChangeProblem,,17 July 2023,,18-Jul-23,,25-Jul-23,,09-Aug-23,,08-Sep-23,
Dynamic Programming,Knapsack Problem,,17 July 2023,,18-Jul-23,,25-Jul-23,,09-Aug-23,,08-Sep-23,
Dynamic Programming,Binomial CoefficientProblem,,17 July 2023,,18-Jul-23,,25-Jul-23,,09-Aug-23,,08-Sep-23,
Dynamic Programming,Permutation CoefficientProblem,,17 July 2023,,18-Jul-23,,25-Jul-23,,09-Aug-23,,08-Sep-23,
Dynamic Programming,Program for nth Catalan Number,,18 July 2023,,19-Jul-23,,26-Jul-23,,10-Aug-23,,09-Sep-23,
Dynamic Programming,Matrix Chain Multiplication ,,18 July 2023,,19-Jul-23,,26-Jul-23,,10-Aug-23,,09-Sep-23,
Dynamic Programming,Edit Distance,,18 July 2023,,19-Jul-23,,26-Jul-23,,10-Aug-23,,09-Sep-23,
Dynamic Programming,Subset Sum Problem,,18 July 2023,,19-Jul-23,,26-Jul-23,,10-Aug-23,,09-Sep-23,
Dynamic Programming,Friends Pairing Problem,,19 July 2023,,20-Jul-23,,27-Jul-23,,11-Aug-23,,10-Sep-23,
Dynamic Programming,Gold Mine Problem,,19 July 2023,,20-Jul-23,,27-Jul-23,,11-Aug-23,,10-Sep-23,
Dynamic Programming,Assembly Line SchedulingProblem,,19 July 2023,,20-Jul-23,,27-Jul-23,,11-Aug-23,,10-Sep-23,
Dynamic Programming,Painting the Fenceproblem,,19 July 2023,,20-Jul-23,,27-Jul-23,,11-Aug-23,,10-Sep-23,
Dynamic Programming,Maximize The Cut Segments,,20 July 2023,,21-Jul-23,,28-Jul-23,,12-Aug-23,,11-Sep-23,
Dynamic Programming,Longest Common Subsequence,,20 July 2023,,21-Jul-23,,28-Jul-23,,12-Aug-23,,11-Sep-23,
Dynamic Programming,Longest Repeated Subsequence,,20 July 2023,,21-Jul-23,,28-Jul-23,,12-Aug-23,,11-Sep-23,
Dynamic Programming,Longest Increasing Subsequence,,20 July 2023,,21-Jul-23,,28-Jul-23,,12-Aug-23,,11-Sep-23,
Dynamic Programming,Space Optimized Solution of LCS,,21 July 2023,,22-Jul-23,,29-Jul-23,,13-Aug-23,,12-Sep-23,
Dynamic Programming,LCS (Longest Common Subsequence) of three strings,,21 July 2023,,22-Jul-23,,29-Jul-23,,13-Aug-23,,12-Sep-23,
Dynamic Programming,Maximum Sum Increasing Subsequence,,21 July 2023,,22-Jul-23,,29-Jul-23,,13-Aug-23,,12-Sep-23,
Dynamic Programming,Count all subsequences having product less than K,,21 July 2023,,22-Jul-23,,29-Jul-23,,13-Aug-23,,12-Sep-23,
Dynamic Programming,Longest subsequence such that difference between adjacent is one,,22 July 2023,,23-Jul-23,,30-Jul-23,,14-Aug-23,,13-Sep-23,
Dynamic Programming,Maximum subsequence sum such that no three are consecutive,,22 July 2023,,23-Jul-23,,30-Jul-23,,14-Aug-23,,13-Sep-23,
Dynamic Programming,Egg Dropping Problem,,22 July 2023,,23-Jul-23,,30-Jul-23,,14-Aug-23,,13-Sep-23,
Dynamic Programming,Maximum Length Chain of Pairs,,22 July 2023,,23-Jul-23,,30-Jul-23,,14-Aug-23,,13-Sep-23,
Dynamic Programming,Maximum size square sub-matrix with all 1s,,23 July 2023,,24-Jul-23,,31-Jul-23,,15-Aug-23,,14-Sep-23,
Dynamic Programming,Maximum sum of pairs with specific difference,,23 July 2023,,24-Jul-23,,31-Jul-23,,15-Aug-23,,14-Sep-23,
Dynamic Programming,Min Cost PathProblem,,23 July 2023,,24-Jul-23,,31-Jul-23,,15-Aug-23,,14-Sep-23,
Dynamic Programming,Maximum difference of zeros and ones in binary string,,23 July 2023,,24-Jul-23,,31-Jul-23,,15-Aug-23,,14-Sep-23,
Dynamic Programming,Minimum number of jumps to reach end,,24 July 2023,,25-Jul-23,,01-Aug-23,,16-Aug-23,,15-Sep-23,
Dynamic Programming,Minimum cost to fill given weight in a bag,,24 July 2023,,25-Jul-23,,01-Aug-23,,16-Aug-23,,15-Sep-23,
Dynamic Programming,Minimum removals from array to make max –min <= K,,24 July 2023,,25-Jul-23,,01-Aug-23,,16-Aug-23,,15-Sep-23,
Dynamic Programming,Longest Common Substring,,24 July 2023,,25-Jul-23,,01-Aug-23,,16-Aug-23,,15-Sep-23,
Dynamic Programming,Count number of ways to reacha given score in a game,,25 July 2023,,26-Jul-23,,02-Aug-23,,17-Aug-23,,16-Sep-23,
Dynamic Programming,Count Balanced Binary Trees of Height h,,25 July 2023,,26-Jul-23,,02-Aug-23,,17-Aug-23,,16-Sep-23,
Dynamic Programming,LargestSum Contiguous Subarray [V>V>V>V IMP ],,25 July 2023,,26-Jul-23,,02-Aug-23,,17-Aug-23,,16-Sep-23,
Dynamic Programming,Smallest sum contiguous subarray,,25 July 2023,,26-Jul-23,,02-Aug-23,,17-Aug-23,,16-Sep-23,
Dynamic Programming,Unbounded Knapsack (Repetition of items allowed),,26 July 2023,,27-Jul-23,,03-Aug-23,,18-Aug-23,,17-Sep-23,
Dynamic Programming,Word Break Problem,,26 July 2023,,27-Jul-23,,03-Aug-23,,18-Aug-23,,17-Sep-23,
Dynamic Programming,Largest Independent Set Problem,,26 July 2023,,27-Jul-23,,03-Aug-23,,18-Aug-23,,17-Sep-23,
Dynamic Programming,Partition problem,,26 July 2023,,27-Jul-23,,03-Aug-23,,18-Aug-23,,17-Sep-23,
Dynamic Programming,Longest Palindromic Subsequence,,27 July 2023,,28-Jul-23,,04-Aug-23,,19-Aug-23,,18-Sep-23,
Dynamic Programming,Count All Palindromic Subsequence in a given String,,27 July 2023,,28-Jul-23,,04-Aug-23,,19-Aug-23,,18-Sep-23,
Dynamic Programming,Longest Palindromic Substring,,27 July 2023,,28-Jul-23,,04-Aug-23,,19-Aug-23,,18-Sep-23,
Dynamic Programming,Longest alternating subsequence,,27 July 2023,,28-Jul-23,,04-Aug-23,,19-Aug-23,,18-Sep-23,
Dynamic Programming,Weighted Job Scheduling,,28 July 2023,,29-Jul-23,,05-Aug-23,,20-Aug-23,,19-Sep-23,
Dynamic Programming,Coin game winner where every player has three choices,,28 July 2023,,29-Jul-23,,05-Aug-23,,20-Aug-23,,19-Sep-23,
Dynamic Programming,Count Derangements (Permutation such that no element appears in its original position) [ IMPORTANT ],,28 July 2023,,29-Jul-23,,05-Aug-23,,20-Aug-23,,19-Sep-23,
Dynamic Programming,Maximum profit by buying and selling a share at most twice [ IMP ],,28 July 2023,,29-Jul-23,,05-Aug-23,,20-Aug-23,,19-Sep-23,
Dynamic Programming,Optimal Strategy for a Game,,29 July 2023,,30-Jul-23,,06-Aug-23,,21-Aug-23,,20-Sep-23,
Dynamic Programming,Optimal Binary Search Tree,,29 July 2023,,30-Jul-23,,06-Aug-23,,21-Aug-23,,20-Sep-23,
Dynamic Programming,Palindrome PartitioningProblem,,29 July 2023,,30-Jul-23,,06-Aug-23,,21-Aug-23,,20-Sep-23,
Dynamic Programming,Word Wrap Problem,,29 July 2023,,30-Jul-23,,06-Aug-23,,21-Aug-23,,20-Sep-23,
Dynamic Programming,Mobile Numeric Keypad Problem [ IMP ],,30 July 2023,,31-Jul-23,,07-Aug-23,,22-Aug-23,,21-Sep-23,
Dynamic Programming,Boolean Parenthesization Problem,,30 July 2023,,31-Jul-23,,07-Aug-23,,22-Aug-23,,21-Sep-23,
Dynamic Programming,Largest rectangular sub-matrix whose sum is 0,,30 July 2023,,31-Jul-23,,07-Aug-23,,22-Aug-23,,21-Sep-23,
Dynamic Programming,Largest area rectangular sub-matrix with equal number of 1’s and 0’s [ IMP ],,30 July 2023,,31-Jul-23,,07-Aug-23,,22-Aug-23,,21-Sep-23,
Dynamic Programming,Maximum sum rectangle in a 2D matrix,,31 July 2023,,01-Aug-23,,08-Aug-23,,23-Aug-23,,22-Sep-23,
Dynamic Programming,Maximum profit by buying and selling a share at most k times,,31 July 2023,,01-Aug-23,,08-Aug-23,,23-Aug-23,,22-Sep-23,
